display_name,n_conjugates,applications,kinds,aliases,sources
CD51/61,1,suspension,antibody,,pdv2|store
CD52,1,suspension,antibody,,pdv2|store
CD54,1,suspension,antibody,CD54/ICAM-1,pdv2|store
CD55,1,suspension,antibody,,pdv2|store
CD56/NCAM,5,suspension,antibody,CD56; NCAM,pdv2|store|store:cd|store:part
CD57,8,imaging|suspension,antibody,,pdv2|store
CD58,1,suspension,antibody,CD58/LFA-3,pdv2|store
CD59,1,suspension,antibody,,pdv2|store
CD6,1,suspension,antibody,,pdv2|store
CD61,4,suspension,antibody,,pdv2|store
CD62L,5,suspension,antibody,CD62L/L-selectin,pdv2|store
CD63,2,imaging|suspension,antibody,,pdv2|store
CD64,2,suspension,antibody,,pdv2|store
CD66a/CEACAM1,2,suspension,antibody,CD66a; CD66a/c/e; CEACAM1,pdv2|store|store:cd|store:part
CD66b,6,imaging|suspension,antibody,,pdv2|store
CD68,5,imaging|suspension,antibody,KP1 antigen,curated|pdv2|store
CD69,5,suspension,antibody,,pdv2|store
CD7,9,imaging|suspension,antibody,,pdv2|store
CD71,2,suspension,antibody,CD71/Transferrin Receptor,pdv2|store
CD72,1,suspension,antibody,,pdv2|store
CD73,2,suspension,antibody,CD73/Ecto-5-nucleotidase,pdv2|store
CD74,2,imaging|suspension,antibody,,pdv2|store
CD80/B7-1,5,suspension,antibody,B7-1; B7.1; CD80; CD80/B7.1,pdv2|store|store:cd|store:part
CD81,1,suspension,antibody,,pdv2|store
CD82,1,suspension,antibody,,pdv2|store
CD83,1,suspension,antibody,,store
CD84,1,suspension,antibody,,pdv2|store
CD85d/ILT4,1,suspension,antibody,CD85d; ILT4,pdv2|store|store:cd|store:part
CD85j/ILT2,2,suspension,antibody,CD85j; ILT2,pdv2|store|store:cd|store:part
CD86/B7.2,8,imaging|suspension,antibody,B7.2; CD86,pdv2|store|store:cd|store:part
CD89,1,suspension,antibody,,pdv2|store
CD8a,23,imaging|suspension,antibody,CD8; CD8 alpha; CD8α,curated|pdv2|store
CD9,1,suspension,antibody,,store
CD90,3,suspension,antibody,,pdv2|store
CD90.2/Thy-1.2,1,suspension,antibody,CD90.2; Thy-1.2,store|store:part
CD94,1,suspension,antibody,,pdv2|store
CD95/Fas,4,suspension,antibody,CD95; Fas,pdv2|store|store:cd|store:part
CD97,1,suspension,antibody,,pdv2|store
CD98,2,imaging|suspension,antibody,,pdv2|store
CD99,1,suspension,antibody,,pdv2|store
Citrate Synthase​,1,imaging,antibody,Citrate Synthase,pdv2|store
CLA,2,suspension,antibody,,pdv2|store
Cleaved Caspase 3,3,imaging|suspension,antibody,Caspase-3 cleaved; cCasp3; Cleaved Caspase-3; cleaved caspase-3,curated|pdv2|store
cleaved Caspase 7,1,suspension,antibody,Cleaved Caspase-7,pdv2|store
cleaved PARP,1,suspension,antibody,Cleaved-PARP,pdv2|store
Collagen Type I,6,imaging,antibody,COL1A1; Collagen 1; Collagen I,curated|pdv2|store
CPT1A​,1,imaging,antibody,CPT1A,pdv2|store
CX3CR1,5,suspension,antibody,,pdv2|store
CyclinA,1,suspension,antibody,,pdv2|store
CyclinB1,2,suspension,antibody,Cyclin B1,pdv2|store
