Application,Part Number,Target,Clone,Metal,Reported Reactivity,Format,Technical Data Sheet,Safety Data Sheet,Sample Type,Assay Type
CyTOF (Cytometry),3175042B,Anti-Human CD272/BTLA ,<div>MIH26</div>,175Lu,"Human, African Green Monkey",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOi/jJAkKdsbeqzqRBd.79lFHrgcSpNQOLHdU6HcfczviLI"" target=""_blank"">PRD009-3175042B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3174027B,Anti-Human CD274/PD-L1 ,<div>MIH1</div>,174Yb,"Dog, Human, Mouse",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOx/_Oqx__TvSigplexk8krlpFu3kluDap8P4xQ1W5Ezjs4"" target=""_blank"">PRD009-3174027B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3156038B,Anti-Human CD279/PD-1 ,<div>EH12.2H7</div>,156Gd,"Human, African Green Monkey, Baboon, Chimpanzee, Common Marmoset, Cynomolgus Macaque, Rhesus Macaque, Squirrel Monkey",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOw/btDmWPsY2UCZNRYpSffDR3BCllrbJjPRN6vgfw9_24Q"" target=""_blank"">PRD009-3156038B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3164034B,Anti-Human CD357/GITR ,<div>108-17</div>,164Dy,Human,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOr/e9yaNy3l9anXRrMTu1UvYGog79xztvbfsEIqBxwECHk"" target=""_blank"">PRD009-3164034B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3176029B,Anti-Human CD95/Fas ,<div>DX2</div>,176Yb,"Human, Cynomolgus Macaque, Rhesus Macaque",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyPQ/oFZyTIqaogA5hgTDxJb9Fm5MZCz0F5n4lvg1bO0Bdmo"" target=""_blank"">PRD009-3176029B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3166033B,Anti-Human TIGIT ,<div>MBSA43</div>,166Er,"Human, Mouse",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyPB/uCaxzQlcsRSb8zAzUrASroNEp0MFYXmXJsPzEkulkQ0"" target=""_blank"">PRD009-3166033B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3171028B,Anti-Human IL-4 ,<div>MP4-25D2</div>,171Yb,"Human, Pig, Rhesus Macaque",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyPG/fecO7eORig1H0FM6FCsz4CQ28flZs7HqlOD6yru42wU"" target=""_blank"">PRD009-3171028B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3147023B,Anti-Human IL-5 ,<div>TRFK5</div>,147Sm,"Mouse, Human, Guinea Pig",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOc/SASQ47nF5cGYgotQU8RLfK_icLrG5j8fgsiXlBMTU.0"" target=""_blank"">PRD009-3147023B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3148025B,Anti-Human IL-10 ,<div>JES3-9D7</div>,148Nd,"Human, Baboon, Rhesus Macaque, Cynomolgus Macaque",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOh/wt6p46YUuEWOkrZ90xLrGw8Cw8R.sZpCKDA6wsoTJlg"" target=""_blank"">PRD009-3148025B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3195002B,Anti-Human IL-17A ,<div>BL168</div>,195Pt,Human,100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyPV/rZVL019z5Q5Wr71oCzv8tNhwH0.X2H_HXiQ13V90lpE"" target=""_blank"">PRD009-3195002B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000183A1/VV57NGLT2fFnqRBmGSU_xnDalw_7V.qhp3Kt.1MjEdY"" target=""_blank"">SDS-00025</a>",various,Maxpar
CyTOF (Cytometry),3167009B,Anti-Human CD197/CCR7 ,<div>G043H7</div>,167Er,"Human, African Green Monkey, Baboon, Cynomolgus Macaque, Rhesus Macaque",100 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iLS/rDfWFHWAEatMUpo7Wz4EdEiqCJazi6eU0n2NKORXhJY"" target=""_blank"">PRD009-3167009B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3141022C,Anti-Human TCRαβ,<div>T10B9.1A-31</div>,141Pr,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOS/R46r_KBxqyyWteOr4QL0KqHFo.JYUEAgydAc2Wuq.Gs"" target=""_blank"">PRD009-3141022B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3153032C,Anti-Human CD25 ,<div>BC96</div>,153Eu,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOm/GeVZhPZX8B1NFgbVn_LxONdgTow8QkkDpF2yerqrCqk"" target=""_blank"">PRD009-3153032B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3164033C,Anti-Human TGF-β1/LAP ,<div>S20006A</div>,164Dy,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyP1/Tgzy5Mhkkg8ndCYkWkBYffWDIDnOBsInejtbqjOBO0U"" target=""_blank"">PRD009-3164033B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3143033C,Anti-Human CD154/CD40L ,<div>24-31</div>,143Nd,"Human, Cynomolgus Macaque, Rhesus Macaque",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOX/DtV5DYcZnmMPKh10TNDVakN48WtZEBTAmKhJAD80uBg"" target=""_blank"">PRD009-3143033B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3172035C,Anti-Human CD223/LAG-3 ,<div>11C3C65</div>,172Yb,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyPL/bHgw4kgeBEo1n0zzSwukoQdvCGzUVIKXUNHWppdOQVI"" target=""_blank"">PRD009-3172035B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3165046C,Anti-Human CD244/2B4 ,<div>PP35</div>,165Ho,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyP6/b1hCKbO8_PHSQxjHh2pr8ccDxeroze.Gfqk_WQ7eZJU"" target=""_blank"">PRD009-3165046B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3175042C,Anti-Human CD272/BTLA ,<div>MIH26</div>,175Lu,"Human, African Green Monkey",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOi/jJAkKdsbeqzqRBd.79lFHrgcSpNQOLHdU6HcfczviLI"" target=""_blank"">PRD009-3175042B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3174027C,Anti-Human CD274/PD-L1 ,<div>MIH1</div>,174Yb,"Dog, Human, Mouse",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOx/_Oqx__TvSigplexk8krlpFu3kluDap8P4xQ1W5Ezjs4"" target=""_blank"">PRD009-3174027B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3156038C,Anti-Human CD279/PD-1 ,<div>EH12.2H7</div>,156Gd,"Human, African Green Monkey, Baboon, Chimpanzee, Common Marmoset, Cynomolgus Macaque, Rhesus Macaque, Squirrel Monkey",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOw/btDmWPsY2UCZNRYpSffDR3BCllrbJjPRN6vgfw9_24Q"" target=""_blank"">PRD009-3156038B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3164034C,Anti-Human CD357/GITR ,<div>108-17</div>,164Dy,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOr/e9yaNy3l9anXRrMTu1UvYGog79xztvbfsEIqBxwECHk"" target=""_blank"">PRD009-3164034B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3176029C,Anti-Human CD95/Fas ,<div>DX2</div>,176Yb,"Human, Cynomolgus Macaque, Rhesus Macaque",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyPQ/oFZyTIqaogA5hgTDxJb9Fm5MZCz0F5n4lvg1bO0Bdmo"" target=""_blank"">PRD009-3176029B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3166033C,Anti-Human TIGIT ,<div>MBSA43</div>,166Er,"Human, Mouse",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyPB/uCaxzQlcsRSb8zAzUrASroNEp0MFYXmXJsPzEkulkQ0"" target=""_blank"">PRD009-3166033B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3171028C,Anti-Human IL-4 ,<div>MP4-25D2</div>,171Yb,"Human, Pig, Rhesus Macaque",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyPG/fecO7eORig1H0FM6FCsz4CQ28flZs7HqlOD6yru42wU"" target=""_blank"">PRD009-3171028B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3147023C,Anti-Human IL-5 ,<div>TRFK5</div>,147Sm,"Mouse, Human, Guinea Pig",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOc/SASQ47nF5cGYgotQU8RLfK_icLrG5j8fgsiXlBMTU.0"" target=""_blank"">PRD009-3147023B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3148025C,Anti-Human IL-10 ,<div>JES3-9D7</div>,148Nd,"Human, Baboon, Rhesus Macaque, Cynomolgus Macaque",25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyOh/wt6p46YUuEWOkrZ90xLrGw8Cw8R.sZpCKDA6wsoTJlg"" target=""_blank"">PRD009-3148025B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3195002C,Anti-Human IL-17A ,<div>BL168</div>,195Pt,Human,25 Tests,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000MyPV/rZVL019z5Q5Wr71oCzv8tNhwH0.X2H_HXiQ13V90lpE"" target=""_blank"">PRD009-3195002B</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000183A1/VV57NGLT2fFnqRBmGSU_xnDalw_7V.qhp3Kt.1MjEdY"" target=""_blank"">SDS-00025</a>",various,Maxpar
CyTOF (Cytometry),3172001G,Goat Anti-Mouse IgG,<div>Polyclonal</div>,172Yb,Polyclonal,50 µg,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iP5/PPzHAAtltILIg95QtzJCRdnXUOJ0AdQtOy_vKLjcWY0"" target=""_blank"">PRD009-3172001G</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3172002G,Goat Anti-Rat IgG,<div>Polyclonal</div>,172Yb,Polyclonal,50 µg,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iP6/gcw6BDrJ229SPJBHrdn_9nuxkysn48_Z7dgAHqQnw7k"" target=""_blank"">PRD009-3172002G</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),3175002G,Goat Anti-Rabbit IgG,<div>Polyclonal</div>,175Lu,Polyclonal,50 µg,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iUi/8zQOITu_UMQpWVco8IdIvUqOMD4E7kPpgc9jdgwLQMw"" target=""_blank"">PRD009-3175002G</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,Maxpar
CyTOF (Cytometry),92J001110,Anti-CD11b,<div>M1/70</div>,110Cd,"Mouse, Human, Chimpanzee, Baboon, Cynomolgus Macaque, Rhesus Macaque, Rabbit+F1730:F1819",25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000dlbq/TACqxhBzGNCMUJOdkH1XK6bDuGaTQsGp4vGSePoNz6M"" target=""_blank"">SDS-00021</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J001195,Anti-CD11b,<div>M1/70</div>,195Pt,"Mouse, Human, Chimpanzee, Baboon, Cynomolgus Macaque, Rhesus Macaque, Rabbit",25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000183A1/VV57NGLT2fFnqRBmGSU_xnDalw_7V.qhp3Kt.1MjEdY"" target=""_blank"">SDS-00025</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J001196,Anti-CD11b,<div>M1/70</div>,196Pt,"Mouse, Human, Chimpanzee, Baboon, Cynomolgus Macaque, Rhesus Macaque, Rabbit",25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000183A1/VV57NGLT2fFnqRBmGSU_xnDalw_7V.qhp3Kt.1MjEdY"" target=""_blank"">SDS-00025</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J002161,Anti-CD11c,<div>N418</div>,161Dy,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J002198,Anti-CD11c,<div>N418</div>,198Pt,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000183A1/VV57NGLT2fFnqRBmGSU_xnDalw_7V.qhp3Kt.1MjEdY"" target=""_blank"">SDS-00025</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J003148,Anti-CD3ε,<div>145-2C11</div>,148Nd,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J003196,Anti-CD3ε,<div>145-2C11</div>,196Pt,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000183A1/VV57NGLT2fFnqRBmGSU_xnDalw_7V.qhp3Kt.1MjEdY"" target=""_blank"">SDS-00025</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J004116,Anti-CD4,<div>RM4-5</div>,116Cd,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000dlbq/TACqxhBzGNCMUJOdkH1XK6bDuGaTQsGp4vGSePoNz6M"" target=""_blank"">SDS-00021</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J005141,Anti-CD44,<div>IM7</div>,141Pr,"Mouse, Human, Chimpanzee, Baboon, Cynomolgus Macaque, Rhesus Macaque, Squirrel Monkey, Equine, Bovine, Porcine, Canine, Feline",25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J005194,Anti-CD44,<div>IM7</div>,194Pt,"Mouse, Human, Chimpanzee, Baboon, Cynomolgus Macaque, Rhesus Macaque, Squirrel Monkey, Equine, Bovine, Porcine, Canine, Feline",25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000183A1/VV57NGLT2fFnqRBmGSU_xnDalw_7V.qhp3Kt.1MjEdY"" target=""_blank"">SDS-00025</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J006106,Anti-CD45,<div>30-F11</div>,106Cd,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000dlbq/TACqxhBzGNCMUJOdkH1XK6bDuGaTQsGp4vGSePoNz6M"" target=""_blank"">SDS-00021</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J006110,Anti-CD45,<div>30-F11</div>,110Cd,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000dlbq/TACqxhBzGNCMUJOdkH1XK6bDuGaTQsGp4vGSePoNz6M"" target=""_blank"">SDS-00021</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J006111,Anti-CD45,<div>30-F11</div>,111Cd,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000dlbq/TACqxhBzGNCMUJOdkH1XK6bDuGaTQsGp4vGSePoNz6M"" target=""_blank"">SDS-00021</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J006112,Anti-CD45,<div>30-F11</div>,112Cd,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000dlbq/TACqxhBzGNCMUJOdkH1XK6bDuGaTQsGp4vGSePoNz6M"" target=""_blank"">SDS-00021</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J006113,Anti-CD45,<div>30-F11</div>,113Cd,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000dlbq/TACqxhBzGNCMUJOdkH1XK6bDuGaTQsGp4vGSePoNz6M"" target=""_blank"">SDS-00021</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J006114,Anti-CD45,<div>30-F11</div>,114Cd,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000dlbq/TACqxhBzGNCMUJOdkH1XK6bDuGaTQsGp4vGSePoNz6M"" target=""_blank"">SDS-00021</a>",various,MaxparOnDemand
CyTOF (Cytometry),92J006116,Anti-CD45,<div>30-F11</div>,116Cd,Mouse,25 µL,"<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001A22f/_95z6KjnQf7BbBObcxN0RIl8pztffLOgsWrjWpDB.8k"" target=""_blank"">TDS-00710</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000dlbq/TACqxhBzGNCMUJOdkH1XK6bDuGaTQsGp4vGSePoNz6M"" target=""_blank"">SDS-00021</a>",various,MaxparOnDemand
