panel_type,tag,channel,tag_active,tag_optimize_available,cat_code,pdv2_product_id,cat_number,product,target,clone,species,test_species,category,reagent_class,size,signal_di,tolerance_di,signal_legacy,tolerance_legacy,abundance,cell,stim,custom_avail,optimize_avail,release_date,active,price,pdf_url,notes
Flow,168Er,168,1,0,FDM,1203,201325,"Human CD14 (63D3)-168Er- MDIPA Kit, not sold separately",CD14 (Kit Only),63D3,Human,,,Metal-Conjugated Antibodies,,275,16.0,,55.0,,,,1,1,,yes,,,
Flow,142Nd,142,1,0,FDM,969,3142011B,Anti-Human CD151/PETA-3,CD151/PETA-3,Jun-50,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test ,37,7.0,,,,PBMC,None,1,1,2016-04-19,yes,0.00,TDS_3142011B.pdf,
Flow,142Nd,142,1,0,FDM,1322,3142019,Anti-Human CTLA-4 (14D3) - 142Nd,CD152/CTLA-4,14D3,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,199,39.8704,,,,,,1,1,,yes,,,
Flow,161Dy,161,1,1,FDM,585,3161004B,Anti-Human CD152/CTLA-4 (14D3) -161Dy,CD152/CTLA-4,14D3,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,102,3.0,,,,PBMC,"PMA/Ionomycin, 6 hrs",1,1,2014-08-29,yes,0.00,TDS_3161004B.pdf,
Flow,162Dy,162,1,0,FDM,1323,3162039,Anti-Human CTLA-4 (14D3) - 162Dy,CD152/CTLA-4,14D3,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,405,80.9928,,,,,,1,1,,yes,,,
Flow,170Er,170,1,1,FDM,458,3170005B,Anti-Human CD152 [CTLA-4] (14D3) -170Er,CD152/CTLA-4,14D3,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,105,21.0,M,40.0,,PBMC,"PMA/Iono, 6hr",1,1,2013-10-02,yes,0.00,TDS_3170005B.pdf,
Flow,143Nd,143,1,1,FDM,1858,3143033B,Anti-CD154/CD40L (24-31) - 143Nd,CD154/CD40L,24-31,Human,Human,Cytokines,Metal-Conjugated Antibodies,100 test,302,13.04562,,,,,,1,1,,yes,,,
Flow,168Er,168,1,0,FDM,408,3168006B,Anti-Human CD154 [CD40L] (24-31) -168Er,CD154/CD40L,24-31,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,204,7.0,,,,PBMC,"PMA/Iono, 6hr",1,1,2013-05-24,yes,0.00,TDS_3168006B.pdf,
Flow,173Yb,173,1,1,FDM,780,3173010B,Anti-Human CD158b (DX27) -173Yb,CD158b/KIR2DL2/DL3/NKAT2,DX27,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,9,3.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3173010B.pdf,
Flow,167Er,167,1,0,FDM,809,3167013B,Anti-Human NKB1 (DX9) -167Er,CD158e1/KIR3DL1/NKB1,DX9,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,136,27.0,,,,whole blood,none,1,1,2015-07-08,yes,0.00,TDS_3167013B.pdf,
Flow,144Nd,144,1,0,FDM,636,3144019B,Anti-Human CD15 (W6D3) -144Nd,CD15/SSEA-1,W6D3,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,108,21.0,,,,Whole Blood,None,1,1,2015-03-18,yes,0.00,TDS_3144019B.pdf,
Flow,164Dy,164,1,1,FDM,28,3164001B,Anti-Human CD15 (W6D3) -164Dy,CD15/SSEA-1,W6D3,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,365,73.0,,,,Whole Blood,None,1,1,2012-12-31,yes,0.00,TDS_3164001B.pdf,
Flow,172Yb,172,1,1,FDM,679,3172021B,Anti-Human CD15/SSEA-1 (W6D3)-172Yb,CD15/SSEA-1,W6D3,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,59,12.0,,,,PBMC,None,1,1,2015-05-02,yes,0.00,TDS_3172021B.pdf,
Flow,145Nd,145,1,0,FDM,637,3145008B,Anti-Human CD16 (3G8) -145Nd,CD16,3G8,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,301,13.0,,,,PBMC,None,1,1,2015-03-18,yes,0.00,TDS_3145008B.pdf,
Flow,148Nd,148,1,1,FDM,246,3148004B,Anti-Human CD16 (3G8) - 148Nd,CD16,3G8,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,433,87.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3148004B.pdf,NEW
Flow,165Ho,165,1,1,FDM,29,3165001B,Anti-Human CD16 (3G8) -165Ho,CD16,3G8,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,47,9.0,H,140.0,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3165001B.pdf,
